VID,RID,epoch,deviceType,osName,isWorker,SSR,serverPush,streamingResponse,workerAssets,fromGoogle,dnsLookupTime,timeToFirstByte,cssBundleLoadTime,mainJsBundleLoadTime,firstPaint,firstContentfulPaint,tti
5211c15c-a6e6-43f8-99ff-c9416b5ebeda,5211c15c-a6e6-43f8-99ff-c9416b5ebeda,1552201314614,mobile,Android,1,1,1,1,0,1,0,,,,,,
ef4d62b5-e2f6-408b-9f35-f89f3b7b435b,ef4d62b5-e2f6-408b-9f35-f89f3b7b435b,1552201607227,mobile,Android,1,1,1,0,0,1,8,499,,,,,
96581843-3cc1-43db-b34b-612b0a90cbd1,96581843-3cc1-43db-b34b-612b0a90cbd1,1552342524405,mobile,iOS,1,0,1,0,1,1,,,,,,,
4b6978dc-c9b7-4e01-8f76-8e37017355b9,4b6978dc-c9b7-4e01-8f76-8e37017355b9,1552230902604,mobile,Android,1,1,1,0,1,1,34,517,,,,,
96eddb16-997f-44b0-a0f7-33e03a0303dc,96eddb16-997f-44b0-a0f7-33e03a0303dc,1552291187686,mobile,Android,1,0,0,0,0,1,102,513,114,217,800,1081,
35ce14f6-5533-4a30-85cd-aaea2303aff1,35ce14f6-5533-4a30-85cd-aaea2303aff1,1552345636467,mobile,Android,1,1,0,1,1,1,,,,,,,
89e2bd12-8e42-4326-89d0-680d8253cdc3,89e2bd12-8e42-4326-89d0-680d8253cdc3,1552339980991,mobile,iOS,1,0,0,0,0,1,,,,,,,
f8af1241-3f96-4284-a39e-ca99a06b48d6,f8af1241-3f96-4284-a39e-ca99a06b48d6,1552242939379,mobile,Android,1,0,0,1,1,1,,,,,,,
87dfb259-dc58-4197-83bd-166f15e58c6d,87dfb259-dc58-4197-83bd-166f15e58c6d,1552208827874,mobile,iOS,1,1,1,0,1,1,574,2316,,,,,
2896e880-9eac-47ea-86cf-01026609b5ff,2896e880-9eac-47ea-86cf-01026609b5ff,1552337343815,NA,Windows,1,0,0,0,0,1,,,,,,,
34d2c3ba-d9b4-47af-b64a-55b7c4395083,34d2c3ba-d9b4-47af-b64a-55b7c4395083,1552294446026,mobile,Android,1,1,0,1,1,1,202,582,115,247,1007,1007,1402
